date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:06	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
22:10:06	61270/61270	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:23:21%20GMT	https://www.w3schools.com/html/	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/index.html	(from )
22:10:06	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/html/)
22:10:08	912/912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7000f6-390-584231f68f584%22	http://static.h-bid.com/sncmp/sncmp_stub.min.js	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/static.h-bid.com/sncmp/sncmp_stub.min.js	(from https://www.w3schools.com/html/)
22:10:08	177/177	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2020:09:42%20GMT	http://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/images/w3schoolscom_gray.4.delayed	(from https://www.w3schools.com/html/)
22:10:08	1860/1860	---M--	200	added ('OK')	image/gif	etag:%2221638653cbacf1:0%22	https://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/images/w3schoolscom_gray.gif	(from https://www.w3schools.com/html/)
22:10:09	95003/95003	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Oct%202019%2023:01:28%20GMT	http://snigelweb-com.videoplayerhub.com/videoloader.js	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/snigelweb-com.videoplayerhub.com/videoloader.js	(from https://www.w3schools.com/html/)
22:10:09	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2020:09:43%20GMT	http://www.w3schools.com/lib/cmp.css	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/lib/cmp.6.delayed	(from https://www.w3schools.com/html/)
22:10:09	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/html/)
22:10:09	9866/9866	---M-Z	200	added ('OK')	text/css	etag:%223b67739dfdbd41:0%22	https://www.w3schools.com/lib/cmp.css	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/lib/cmp.css	(from https://www.w3schools.com/html/)
22:10:10	61270/61270	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:12:40%20GMT	https://www.w3schools.com/html/default.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/default.html	(from https://www.w3schools.com/html/)
22:10:11	59333/59333	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:31:01%20GMT	https://www.w3schools.com/html/html_exercises.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_exercises.html	(from https://www.w3schools.com/html/)
22:10:11	59322/59322	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:14:14%20GMT	https://www.w3schools.com/html/html_quiz.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_quiz.html	(from https://www.w3schools.com/html/)
22:10:12	62548/62548	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:27:13%20GMT	https://www.w3schools.com/html/html_intro.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_intro.html	(from https://www.w3schools.com/html/)
22:10:13	77020/77020	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c680271-12cdc-59374c3e58905%22	http://static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min.js?20190327	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min8a4b.js	(from https://www.w3schools.com/html/)
22:10:13	60718/60718	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:26:21%20GMT	https://www.w3schools.com/html/html_editors.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_editors.html	(from https://www.w3schools.com/html/)
22:10:13	61987/61987	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:41:25%20GMT	https://www.w3schools.com/html/html_basic.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_basic.html	(from https://www.w3schools.com/html/)
22:10:13	62909/62909	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:21:53%20GMT	https://www.w3schools.com/html/html_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_elements.html	(from https://www.w3schools.com/html/)
22:10:13	70591/70591	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:34:25%20GMT	https://www.w3schools.com/html/html_attributes.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_attributes.html	(from https://www.w3schools.com/html/)
22:10:14	64881/64881	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:48:48%20GMT	https://www.w3schools.com/html/html_headings.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_headings.html	(from https://www.w3schools.com/html/)
22:10:14	63532/63532	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:33:29%20GMT	https://www.w3schools.com/html/html_paragraphs.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_paragraphs.html	(from https://www.w3schools.com/html/)
22:10:15	63253/63253	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:28:18%20GMT	https://www.w3schools.com/html/html_styles.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_styles.html	(from https://www.w3schools.com/html/)
22:10:15	66957/66957	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:32:41%20GMT	https://www.w3schools.com/html/html_formatting.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_formatting.html	(from https://www.w3schools.com/html/)
22:10:15	64515/64515	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:25:10%20GMT	https://www.w3schools.com/html/html_quotation_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_quotation_elements.html	(from https://www.w3schools.com/html/)
22:10:16	59758/59758	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:04:26%20GMT	https://www.w3schools.com/html/html_comments.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_comments.html	(from https://www.w3schools.com/html/)
22:10:16	83351/83351	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:58:39%20GMT	https://www.w3schools.com/html/html_colors.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_colors.html	(from https://www.w3schools.com/html/)
22:10:16	70814/70814	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2012:56:57%20GMT	https://www.w3schools.com/html/html_css.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_css.html	(from https://www.w3schools.com/html/)
22:10:17	73463/73463	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:15:08%20GMT	https://www.w3schools.com/html/html_links.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_links.html	(from https://www.w3schools.com/html/)
22:10:17	70142/70142	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:36:17%20GMT	https://www.w3schools.com/html/html_images.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_images.html	(from https://www.w3schools.com/html/)
22:10:17	68329/68329	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:06:06%20GMT	https://www.w3schools.com/html/html_images_imagemap.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_images_imagemap.html	(from https://www.w3schools.com/html/)
22:10:18	63199/63199	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:16:30%20GMT	https://www.w3schools.com/html/html_images_background.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_images_background.html	(from https://www.w3schools.com/html/)
22:10:18	60747/60747	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:37:59%20GMT	https://www.w3schools.com/html/html_images_picture.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_images_picture.html	(from https://www.w3schools.com/html/)
22:10:20	74925/74925	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:27:26%20GMT	https://www.w3schools.com/html/html_tables.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_tables.html	(from https://www.w3schools.com/html/)
22:10:20	72213/72213	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:31:36%20GMT	https://www.w3schools.com/html/html_lists.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_lists.html	(from https://www.w3schools.com/html/)
22:10:20	66048/66048	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:16:58%20GMT	https://www.w3schools.com/html/html_blocks.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_blocks.html	(from https://www.w3schools.com/html/)
22:10:21	66128/66128	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:02:09%20GMT	https://www.w3schools.com/html/html_classes.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_classes.html	(from https://www.w3schools.com/html/)
22:10:21	63779/63779	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:15:30%20GMT	https://www.w3schools.com/html/html_id.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_id.html	(from https://www.w3schools.com/html/)
22:10:21	62313/62313	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:07:03%20GMT	https://www.w3schools.com/html/html_iframe.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_iframe.html	(from https://www.w3schools.com/html/)
22:10:22	62902/62902	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:10:15%20GMT	https://www.w3schools.com/html/html_scripts.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_scripts.html	(from https://www.w3schools.com/html/)
22:10:22	60242/60242	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:37:03%20GMT	https://www.w3schools.com/html/html_filepaths.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_filepaths.html	(from https://www.w3schools.com/html/)
22:10:22	67850/67850	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:00:22%20GMT	https://www.w3schools.com/html/html_head.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_head.html	(from https://www.w3schools.com/html/)
22:10:23	67062/67062	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:49:18%20GMT	https://www.w3schools.com/html/html_layout.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_layout.html	(from https://www.w3schools.com/html/)
22:10:23	70986/70986	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2020:09:58%20GMT	https://www.w3schools.com/html/html_responsive.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_responsive.html	(from https://www.w3schools.com/html/)
22:10:24	63851/63851	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:25:50%20GMT	https://www.w3schools.com/html/html_computercode_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_computercode_elements.html	(from https://www.w3schools.com/html/)
22:10:24	62802/62802	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:15:18%20GMT	https://www.w3schools.com/html/html_entities.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_entities.html	(from https://www.w3schools.com/html/)
22:10:25	62038/62038	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:05:41%20GMT	https://www.w3schools.com/html/html_symbols.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_symbols.html	(from https://www.w3schools.com/html/)
22:10:25	85905/85905	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:06:39%20GMT	https://www.w3schools.com/html/html_charset.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_charset.html	(from https://www.w3schools.com/html/)
22:10:25	61734/61734	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:27:02%20GMT	https://www.w3schools.com/html/html_urlencode.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_urlencode.html	(from https://www.w3schools.com/html/)
22:10:26	67991/67991	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:40:51%20GMT	https://www.w3schools.com/html/html_xhtml.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_xhtml.html	(from https://www.w3schools.com/html/)
22:10:26	74361/74361	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:37:08%20GMT	https://www.w3schools.com/html/html_forms.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_forms.html	(from https://www.w3schools.com/html/)
22:10:26	70527/70527	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:24:33%20GMT	https://www.w3schools.com/html/html_form_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_form_elements.html	(from https://www.w3schools.com/html/)
22:10:27	90055/90055	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:02:42%20GMT	https://www.w3schools.com/html/html_form_input_types.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_form_input_types.html	(from https://www.w3schools.com/html/)
22:10:27	91725/91725	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:54:37%20GMT	https://www.w3schools.com/html/html_form_attributes.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_form_attributes.html	(from https://www.w3schools.com/html/)
22:10:28	63771/63771	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:19:46%20GMT	https://www.w3schools.com/html/html5_intro.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_intro.html	(from https://www.w3schools.com/html/)
22:10:28	62749/62749	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:03:39%20GMT	https://www.w3schools.com/html/html5_browsers.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_browsers.html	(from https://www.w3schools.com/html/)
22:10:28	67733/67733	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:54:47%20GMT	https://www.w3schools.com/html/html5_new_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_new_elements.html	(from https://www.w3schools.com/html/)
22:10:29	70302/70302	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:14:56%20GMT	https://www.w3schools.com/html/html5_semantic_elements.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_semantic_elements.html	(from https://www.w3schools.com/html/)
22:10:29	70503/70503	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:17:08%20GMT	https://www.w3schools.com/html/html5_migration.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_migration.html	(from https://www.w3schools.com/html/)
22:10:29	76355/76355	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:04:45%20GMT	https://www.w3schools.com/html/html5_syntax.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_syntax.html	(from https://www.w3schools.com/html/)
22:10:30	67920/67920	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:09:29%20GMT	https://www.w3schools.com/html/html5_canvas.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_canvas.html	(from https://www.w3schools.com/html/)
22:10:31	64590/64590	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:09:32%20GMT	https://www.w3schools.com/html/html5_svg.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_svg.html	(from https://www.w3schools.com/html/)
22:10:31	63204/63204	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:29:07%20GMT	https://www.w3schools.com/html/html_media.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_media.html	(from https://www.w3schools.com/html/)
22:10:31	67938/67938	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:23:24%20GMT	https://www.w3schools.com/html/html5_video.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_video.html	(from https://www.w3schools.com/html/)
22:10:32	64933/64933	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:19:55%20GMT	https://www.w3schools.com/html/html5_audio.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_audio.html	(from https://www.w3schools.com/html/)
22:10:32	61106/61106	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:24:28%20GMT	https://www.w3schools.com/html/html_object.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_object.html	(from https://www.w3schools.com/html/)
22:10:33	62123/62123	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:38:28%20GMT	https://www.w3schools.com/html/html_youtube.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_youtube.html	(from https://www.w3schools.com/html/)
22:10:33	67721/67721	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:45:54%20GMT	https://www.w3schools.com/html/html5_geolocation.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_geolocation.html	(from https://www.w3schools.com/html/)
22:10:33	63366/63366	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:40:42%20GMT	https://www.w3schools.com/html/html5_draganddrop.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_draganddrop.html	(from https://www.w3schools.com/html/)
22:10:34	62763/62763	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:22:51%20GMT	https://www.w3schools.com/html/html5_webstorage.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_webstorage.html	(from https://www.w3schools.com/html/)
22:10:34	64199/64199	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:27:18%20GMT	https://www.w3schools.com/html/html5_webworkers.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_webworkers.html	(from https://www.w3schools.com/html/)
22:10:34	61798/61798	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:16:09%20GMT	https://www.w3schools.com/html/html5_serversentevents.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html5_serversentevents.html	(from https://www.w3schools.com/html/)
22:10:35	96299/96299	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:20:06%20GMT	https://www.w3schools.com/html/html_examples.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_examples.html	(from https://www.w3schools.com/html/)
22:10:35	58468/58468	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:35:04%20GMT	https://www.w3schools.com/html/html_exam.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_exam.html	(from https://www.w3schools.com/html/)
22:10:36	62659/62659	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:38:50%20GMT	https://www.w3schools.com/html/html_summary.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_summary.html	(from https://www.w3schools.com/html/)
22:10:36	64933/64933	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:27:54%20GMT	https://www.w3schools.com/html/html_accessibility.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/html_accessibility.html	(from https://www.w3schools.com/html/)
22:10:36	40916/40916	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:06:55%20GMT	https://www.w3schools.com/html/tryit.asp?filename=tryhtml_default	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/tryitfb35.html	(from https://www.w3schools.com/html/)
22:10:37	91188/91188	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2020:10:11%20GMT	https://www.w3schools.com/html/exercise.asp?filename=exercise_html_attributes1	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/exercise4b52.html	(from https://www.w3schools.com/html/)
22:10:37	6152/6152	---M--	200	added ('OK')	image/png	etag:%2251a91fbf69dad41:0%22	https://www.w3schools.com/images/w3certified_logo_250.png	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/images/w3certified_logo_250.png	(from https://www.w3schools.com/html/)
22:10:37	3235/3235	---M--	200	added ('OK')	image/gif	etag:%2296ad478671ecf1:0%22	https://www.w3schools.com/images/colorpicker.gif	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/images/colorpicker.gif	(from https://www.w3schools.com/html/)
22:10:38	53980/53980	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280d447114e78d51:0%22	https://www.w3schools.com/lib/w3schools_footer.js	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/lib/w3schools_footer.js	(from https://www.w3schools.com/html/)
22:10:38	2194/2194	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202019%2020:10:37%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/translate.google.com/translate_a/element.4ea0d8.delayed	(from https://www.w3schools.com/html/)
22:10:39	91188/91188	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2020:10:13%20GMT	https://www.w3schools.com/html/exercise.asp	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/exercise.html	(from https://www.w3schools.com/html/html_exercises.asp)
22:10:39	40912/40912	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:38:44%20GMT	https://www.w3schools.com/html/tryit.asp?filename=tryhtml_intro	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/tryit6a1d.html	(from https://www.w3schools.com/html/html_intro.asp)
22:10:40	18495/18495	---M--	200	added ('OK')	image/png	etag:%22c06f561d4cd01:0%22	https://www.w3schools.com/html/img_chrome.png	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/img_chrome.png	(from https://www.w3schools.com/html/html_intro.asp)
22:10:40	8523/8523	---M--	200	added ('OK')	image/png	etag:%22e7fcd3d9713cd01:0%22	https://www.w3schools.com/html/img_notepad.png	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/img_notepad.png	(from https://www.w3schools.com/html/html_editors.asp)
22:10:41	8578/8578	---M--	200	added ('OK')	image/png	etag:%225b9073581d4cd01:0%22	https://www.w3schools.com/html/img_saveas.png	C:/Users/11802988/Desktop/w3schools%20HTML%20offline/w3schools%20HTML%20offline/www.w3schools.com/html/img_saveas.png	(from https://www.w3schools.com/html/html_editors.asp)
